bird_reference	bird_shorthand	bird_shorthand_pt
764	UWAF	UW.AF
765	UZAB	UZ.AB
766	UUAS	UUA.S
767	UUAU	UU.AU
768	YRAF	YR.AF
769	UVAD	U.VAD
770	UZAM	UZ.AM
771	YRAR	YR.AR
772	UKAW	U.KAW
773	YPAM	YP.AM
774	YSAR	YS.AR
775	YSAW	Y.SAW
776	YRAN	YRA.N
777	YSAK	YSA.K
778	UGAC	UGA.C
779	ULAR	UL.AR
780	UGAL	U.GAL
781	UKAN	UKA.N
782	UGAJ	UG.AJ
783	UHAB	UHAB
784	UKAK	UKA.K
785	UPAD	U.PAD
786	UGAK	UGA.K
787	USAG	USA.G
788	UGAP	U.GAP
789	URAJ	UR.AJ
790	UGAM	UG.AM
791	UJAB	UJ.AB
792	ULAV	ULA.V
793	UHAP	U.HAP
794	ULAH	U.LAH
795	UKAX	UK.AX
796	UGAT	U.GAT
797	ULAG	ULA.G
798	YRAP	Y.RAP
799	UKAR	UK.AR
800	UKAG	UKA.G
801	UHAF	UH.AF
802	UGAW	U.GAW
803	UHAN	UHA.N
804	UGAH	U.GAH
805	UGAV	UGA.V
806	ULAC	ULA.C
807	UHAU	UH.AU
808	UKAL	U.KAL
809	YMAT	Y.MAT
810	YNAT	Y.NAT
811	UJAL	U.JAL
812	UHAW	U.HAW
813	UKAJ	UK.AJ
814	YRAH	Y.RAH
815	UGAZ	U.GAZ
816	YRAB	YR.AB
817	EAAJ	EAAJ
818	YSAM	YS.AM
819	YCAH	Y.CAH
820	YUAD	Y.UAD
821	TGAN	TG.AN
822	YYAD	Y.YAD
823	YWAN	YWA.N
824	YYAM	YY.AM
825	YUAN	YUA.N
826	YZAW	Y.ZAW
827	YVAL	Y.VAL
828	YYAZ	Y.YAZ
829	YTAS	YTA.S
830	YVAU	YV.AU
831	YVAH	Y.VAH
832	YUAA	Y.UAA
833	YUAT	Y.UAT
834	YXAJ	YX.AJ
835	YXAA	Y.XAA
836	YTAF	YT.AF
837	YUAC	YUA.C
838	YVAS	YVA.S
839	YVAF	YV.AF
840	YUAJ	YU.AJ
841	YWAJ	YW.AJ
842	YVAR	YV.AR
843	YWAY	YWA.Y
844	YTAZ	Y.TAZ
845	YVAP	Y.VAP
846	YVAV	YVA.V
847	YTAU	YT.AU
848	YVAA	Y.VAA
849	YTAW	Y.TAW
850	YTAH	Y.TAH
851	YXAB	YX.AB
852	YXAX	YX.AX
853	YUAY	YUA.Y
854	YTAN	YTA.N
855	YYAF	YY.AF
856	YTAB	YT.AB
857	YZAC	YZA.C
858	YZAA	Y.ZAA
859	YYAA	Y.YAA
860	YTAL	Y.TAL
861	YVAG	YVA.G
862	YZAT	Y.ZAT
863	YUAF	YU.AF
864	USAR	US.AR
865	USAZ	U.SAZ
866	UTAJ	UT.AJ
867	UXAR	UX.AR
868	EAHE	EAHE
869	EAHH	EAHH
870	EAHJ	EAHJ
871	EAHK	EAHK
872	EAHM	EAHM
873	UPAZ	U.PAZ
874	EAKU	EAKU
875	SZAS	SZ.AS
876	UFAK	UFA.K
877	SZAG	SZ.AG
878	SGAJ	SGA.J
879	UBAZ	U.BAZ
880	UWAH	U.WAH
881	UMAW	U.MAW
882	URAD	U.RAD
883	UPAJ	UP.AJ
884	YPAT	Y.PAT
885	STAZ	ST.AZ
886	UTAV	UTA.V
887	UXAG	UXA.G
888	YNAM	YN.AM
889	YMAL	Y.MAL
890	YSAJ	YS.AJ
891	UUAV	UUA.V
892	UUAX	UU.AX
893	UUAH	U.UAH
894	UUAW	U.UAW
895	UVAR	UV.AR
896	UXAS	UXA.S
897	UVAX	UV.AX
898	UUAT	U.UAT
899	UUAJ	UU.AJ
900	UVAZ	U.VAZ
901	UZAT	U.ZAT
902	SFAP	SFA.P
903	UBAD	U.BAD
904	UCAM	UC.AM
905	UCAJ	UC.AJ
906	UUAM	UU.AM
907	UDAU	UD.AU
908	YSAT	Y.SAT
909	YNAZ	Y.NAZ
910	UTAT	U.TAT
911	UTAP	U.TAP
912	UXAK	UXA.K
913	UUAP	U.UAP
914	UUAK	UUA.K
915	UMAK	UMA.K
916	UMAU	UM.AU
917	UPAH	U.PAH
918	UPAP	U.PAP
919	UPAW	U.PAW
920	URAC	URA.C
921	URAR	UR.AR
922	URAX	UR.AX
923	TMAU	TM.AU
924	UBAL	U.BAL
925	SFAV	SF.AV
926	UBAA	U.BAA
927	TRAM	TR.AM
928	SZAN	SZ.AN
929	SAAH	S.AAH
930	SZAC	SZ.AC
931	UAAT	U.AAT
932	SGAT	SG.AT
933	UAAC	UAA.C
934	UAAD	U.AAD
935	UAAF	UA.AF
936	UAAG	UAA.G
937	UAAR	UA.AR
938	UAAU	UA.AU
939	UAAX	UA.AX
940	UAAZ	U.AAZ
941	UBAC	UBA.C
942	UBAF	UB.AF
943	UBAH	U.BAH
944	UBAJ	UB.AJ
945	SZAF	S.ZAF
946	SZAH	SZA.H
