bird_reference	raw_KleurringNummer	bird_date_begin	bird_shorthand_pt
382	BWAT	2001-02-02T00:00:00Z	BWAT
383	BWAU	2001-02-02T00:00:00Z	BWAU
384	BWAV	2001-02-02T00:00:00Z	BWAV
385	BWAW	2001-02-02T00:00:00Z	BWAW
386	BWAX	2001-02-02T00:00:00Z	BWAX
387	BWAY	2001-02-02T00:00:00Z	BWAY
388	CBAA	2001-02-02T00:00:00Z	CBAA
389	CBAB	2001-02-02T00:00:00Z	CBAB
390	CBAC	2001-02-02T00:00:00Z	CBAC
391	CBAD	2001-02-02T00:00:00Z	CBAD
392	CBAF	2001-02-02T00:00:00Z	CBAF
393	CBAG	2001-02-02T00:00:00Z	CBAG
394	CBAH	2001-02-02T00:00:00Z	CBAH
395	CBAJ	2001-02-02T00:00:00Z	CBAJ
396	CBAK	2001-02-09T00:00:00Z	CBAK
397	CBAL	2001-02-09T00:00:00Z	CBAL
398	CBAM	2001-02-09T00:00:00Z	CBAM
399	CBAN	2001-02-09T00:00:00Z	CBAN
400	CBAP	2001-02-09T00:00:00Z	CBAP
401	CBAS	2001-02-09T00:00:00Z	CBAS
402	CBAT	2001-02-09T00:00:00Z	CBAT
403	CBAU	2001-02-09T00:00:00Z	CBAU
404	CBAV	2001-02-09T00:00:00Z	CBAV
405	CBAW	2001-02-14T00:00:00Z	CBAW
406	CBAX	2001-02-14T00:00:00Z	CBAX
407	CBAY	2001-02-14T00:00:00Z	CBAY
408	CBAZ	2001-02-14T00:00:00Z	CBAZ
409	BZAA	2001-02-14T00:00:00Z	BZAA
410	BZAB	2001-02-14T00:00:00Z	BZAB
411	BZAC	2001-02-14T00:00:00Z	BZAC
412	BZAD	2001-02-14T00:00:00Z	BZAD
413	BZAF	2001-02-14T00:00:00Z	BZAF
414	BZAG	2001-02-14T00:00:00Z	BZAG
415	BZAH	2001-02-14T00:00:00Z	BZAH
416	BZAJ	2001-02-14T00:00:00Z	BZAJ
417	BZAK	2001-02-14T00:00:00Z	BZAK
418	BZAL	2001-02-14T00:00:00Z	BZAL
419	BZAM	2001-02-14T00:00:00Z	BZAM
420	BZAN	2001-02-14T00:00:00Z	BZAN
421	BZAP	2001-02-14T00:00:00Z	BZAP
422	BZAR	2001-02-14T00:00:00Z	BZAR
423	BZAS	2001-02-14T00:00:00Z	BZAS
424	BYAL	2001-01-09T00:00:00Z	BYAL
425	BYAM	2001-01-09T00:00:00Z	BYAM
426	BYAN	2001-01-09T00:00:00Z	BYAN
427	BYAP	2001-01-09T00:00:00Z	BYAP
428	BYAS	2001-01-09T00:00:00Z	BYAS
429	BYAT	2001-01-09T00:00:00Z	BYAT
430	BYAU	2001-01-09T00:00:00Z	BYAU
431	BYAW	2001-01-09T00:00:00Z	BYAW
432	BYAX	2001-01-09T00:00:00Z	BYAX
433	BYAA	2001-01-09T00:00:00Z	BYAA
434	CAAA	2001-01-09T00:00:00Z	CAAA
435	CAAB	2001-01-09T00:00:00Z	CAAB
436	CAAC	2001-01-09T00:00:00Z	CAAC
437	CAAD	2001-01-09T00:00:00Z	CAAD
438	CAAF	2001-01-09T00:00:00Z	CAAF
